id,name,short_description,full_description,website,person_id,organisation_id,created_at,updated_at,slug
3trKw35JC6kqiiJMGaoET7,CodeCollab,Collaborative coding platform,CodeCollab is a powerful platform for teams to code together in real-time.,https://codecollab.com,K8BimufUsEu2m8aREjA2Uo,,2023-12-31T19:00:00-05:00,2023-12-31T19:00:00-05:00,codecollab
Qrr881rBrVcXuUPD9rfpAu,DataViz,Data visualization tool,"DataViz turns complex data into beautiful, interactive visualizations.",https://dataviz.io,5awxzEZRKBCUB2Z6aARJiG,Epyiswp87Tys7Uq2YjBq5A,2024-01-01T09:00:00+09:00,2024-01-01T09:00:00+09:00,dataviz
QgNWurbk6QANXZ58ZbsiPw,CloudSync,Cloud storage solution,CloudSync provides secure and scalable cloud storage for businesses.,https://cloudsync.net,CWz1sDUiS8aLkvCNvJwhMm,,2023-12-31T19:00:00-05:00,2023-12-31T19:00:00-05:00,cloudsync
V1b3PhSKcjj4FpkUG7oajm,AIAssist,AI-powered coding assistant,AIAssist uses machine learning to help developers write better code faster.,https://aiassist.dev,GTWK7A95whVQ4ZwrBo2jci,,2024-01-01T11:00:00+11:00,2024-01-01T11:00:00+11:00,aiassist
NCyQd9sJjzktabhFok9Q2W,SecureNet,Network security suite,SecureNet offers comprehensive protection for enterprise networks.,https://securenet.io,7DmBrkXhewLC15ZwcnCUuZ,8FwG4wgqHDv9t9QtatVAVM,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,securenet
BTTwJ2zxY4kMz2JntRy1PW,QuickBooks,Accounting software,QuickBooks simplifies financial management for small businesses.,https://quickbooks.com,69pszWq4Dqt9v1owDvuWoS,,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,quickbooks
3eLpbpmZ86kRLYadqR7MCS,HealthTrack,Health monitoring app,HealthTrack helps users monitor and improve their overall well-being.,https://healthtrack.app,Do3MZ7Srkuo1ew3Pp5kK2R,,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,healthtrack
JqJftnKEcsn9XzNQgGCc1b,EduLearn,E-learning platform,EduLearn provides interactive online courses for various subjects.,https://edulearn.com,2Fg9Fv6QSKCko2TeiYyinB,6DxC1qAY2SxPx5aNtVkN2A,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,edulearn
PjXh8wFrDXFhPobEW4sLkD,GreenEnergy,Renewable energy management,GreenEnergy optimizes renewable energy sources for maximum efficiency.,https://greenenergy.tech,J3eUHhn5wY46ysLy1EDwYP,V7AYWECbNGWasJQNK7CxME,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,greenenergy
RgDkyrCSvptLCR4YhwmPva,SmartHome,Home automation system,SmartHome connects and controls all your smart devices in one place.,https://smarthome.io,XAfQzF8P4m521PFoZHnfLN,,2024-01-01T00:00:00+00:00,2024-01-01T00:00:00+00:00,smarthome
QXZNiU8eJemWywjsRihg7b,GEnergy,Renewable energy management,GreenEnergy optimizes renewable energy sources for maximum efficiency.,https://greenenergy.tech,XAfQzF8P4m521PFoZHnfLN,,2024-10-08T22:10:20.957627,2024-10-08T22:10:20.957627,genergy
6q1YHhafRqaxFGkpJMfVts,StHome,Home automation system,SmartHome connects and controls all your smart devices in one place.,https://smarthome.io,GTWK7A95whVQ4ZwrBo2jci,,2024-10-08T22:10:20.957627,2024-10-08T22:10:20.957627,shome
A6zRr8TEczu5KYJmR7Z3cU,ELearn,E-learning platform,EduLearn provides interactive online courses for various subjects.,https://edulearn.com,J3eUHhn5wY46ysLy1EDwYP,,2024-10-08T22:10:20.957627,2024-10-08T22:10:20.957627,elearn
55bM321BAv3FaX7ZkQnQaM,QBooks,Accounting software,QuickBooks simplifies financial management for small businesses.,https://quickbooks.com,XAfQzF8P4m521PFoZHnfLN,,2024-10-08T22:10:20.957627,2024-10-08T22:10:20.957627,qbooks
UNJXmeHHzktTxgWtxN5QAF,HTrack,Health monitoring app,HealthTrack helps users monitor and improve their overall well-being.,https://healthtrack.app,69pszWq4Dqt9v1owDvuWoS,,2024-10-08T22:10:20.957627,2024-10-08T22:10:20.957627,htrack
