id,title,description,short_description,status,blocked,featured,priority,auto_approve_bounty_claims,video_url,initiative_id,product_id,product_area_id
3TC4zwY4pDVgHvsyCVsBZv,Implement Single Sign-On,Integrate SSO functionality for enterprise clients,Add SSO support,active,FALSE,TRUE,high,FALSE,https://youtu.be/sso_example1,AHmdsRxSU6Jet3UTZ56jdK,3trKw35JC6kqiiJMGaoET7,FGSSBA6Y7Ao9oxZTGhvWNc
Xx8oaqfv9hyxWkJtqbJfQF,Optimize Database Queries,Improve performance of main dashboard queries,Speed up dashboard,active,FALSE,FALSE,medium,TRUE,https://youtu.be/db_optimize,,Qrr881rBrVcXuUPD9rfpAu,6aQWzXS94nMGcLTaNqRYtP
UQ5G5EYYJqiJp8CfjaSujJ,Mobile App Redesign,Overhaul the mobile app UI/UX for better user engagement,Redesign mobile app,planning,FALSE,TRUE,high,FALSE,https://youtu.be/mobile_redesign,,QgNWurbk6QANXZ58ZbsiPw,6aQWzXS94nMGcLTaNqRYtP
RzEGLrRkR2x2uMRPMG6JsZ,Implement AI Chatbot,Develop an AI-powered chatbot for customer support,Add AI chatbot,active,FALSE,TRUE,medium,TRUE,https://youtu.be/ai_chatbot,HatbktHJ391RdN6Nsji3xT,V1b3PhSKcjj4FpkUG7oajm,6aQWzXS94nMGcLTaNqRYtP
7puBaQJrXoWEPdgaxNRXQU,Enhance Security Measures,Implement additional security features to protect user data,Improve security,active,FALSE,FALSE,high,FALSE,https://youtu.be/security_enhance,,NCyQd9sJjzktabhFok9Q2W,6aQWzXS94nMGcLTaNqRYtP
MPEALaA76mPGy9yKSLe74,Develop API Documentation,Create comprehensive API documentation for developers,API documentation,planning,FALSE,FALSE,low,TRUE,https://youtu.be/api_docs,,BTTwJ2zxY4kMz2JntRy1PW,KgqZHhE53oLtMrHuPYzCxK
YXxywcFbYc1keJL1cs7nMf,Implement Dark Mode,Add dark mode option to improve user experience,Add dark mode,active,FALSE,TRUE,medium,FALSE,https://youtu.be/dark_mode,Grjar72Jnoqr39eT1oLTUY,3eLpbpmZ86kRLYadqR7MCS,FGSSBA6Y7Ao9oxZTGhvWNc
MCGdcwKXijC3hcEfK7WArF,Optimize Image Processing,Improve image processing speed and quality,Enhance image processing,active,FALSE,FALSE,high,TRUE,https://youtu.be/image_optimize,,JqJftnKEcsn9XzNQgGCc1b,KgqZHhE53oLtMrHuPYzCxK
EquggDpAzwQKvSb7XLacJ3,Implement Multilingual Support,Add support for multiple languages in the platform,Add language support,planning,FALSE,TRUE,high,FALSE,https://youtu.be/multilingual,8Pxv1tXfR4YigFCDsBjSjP,PjXh8wFrDXFhPobEW4sLkD,PF66V4Cx6d2WPADzsUj9gd
FgYLBGEHiJbcC5VP3xz4EJ,Develop Offline Mode,Create offline functionality for mobile app users,Add offline mode,active,FALSE,FALSE,medium,TRUE,https://youtu.be/offline_mode,45zsqkdk3PXRxzjS1MEvhW,RgDkyrCSvptLCR4YhwmPva,KgqZHhE53oLtMrHuPYzCxK
