id,organisation_id,amount,granted_by_id,rationale
2bkWmzAEDZsVch4ZttZASP,Ft3NuKffhSFuPYPP4Fk7US,5000,K8BimufUsEu2m8aREjA2Uo,Initial grant for new partnership
JcgwJ99Ds2iiJNriRU9pV6,N1cfUT6ZBbMESZdnArh4qT,2500,5awxzEZRKBCUB2Z6aARJiG,Quarterly performance bonus
X9dfNrWk7oeWYimD2adxJy,Epyiswp87Tys7Uq2YjBq5A,1000,CWz1sDUiS8aLkvCNvJwhMm,Community contribution reward
U3sinxJRt9FiQMyxUMos8A,AVEz1AWBpbDFBCGBoMoUXE,7500,GTWK7A95whVQ4ZwrBo2jci,Annual allocation
3MDm5NAWjNY8SzEUQiyBhH,Ux7Qe3MzUiZALPyCNVJHry,3000,7DmBrkXhewLC15ZwcnCUuZ,Project completion bonus
28wXiREMZ6TzTvDTpBx9KK,8FwG4wgqHDv9t9QtatVAVM,500,69pszWq4Dqt9v1owDvuWoS,Referral reward
Ec5mPkvF4326QQCaYc68mS,JDMrgAVxNtvJounETQMpzv,10000,Do3MZ7Srkuo1ew3Pp5kK2R,Major partnership agreement
B76HsJdJoubQjkz2Eo7wvc,Q24CwUfGkiMiRF7o7hSzbz,1500,2Fg9Fv6QSKCko2TeiYyinB,Innovation challenge winner
LPWCXr2eNgKd4ZcJQgXaQP,6DxC1qAY2SxPx5aNtVkN2A,2000,J3eUHhn5wY46ysLy1EDwYP,Customer satisfaction improvement
HukdrBFWgF2MypY2MKKuoS,V7AYWECbNGWasJQNK7CxME,4000,XAfQzF8P4m521PFoZHnfLN,Ecosystem growth initiative
