id,title,description,short_description,status,entry_deadline,judging_deadline,max_entries,product_id,product_area_id
1,"AI Innovation Challenge","Develop innovative AI solutions for real-world problems","AI Innovation Contest",active,2024-12-31T23:59:59Z,2025-01-31T23:59:59Z,100,1,1
2,"Mobile App UI Design Contest","Create stunning and intuitive mobile app interfaces","Mobile UI Design",active,2024-11-30T23:59:59Z,2024-12-31T23:59:59Z,50,2,2
3,"Code Optimization Challenge","Optimize code for better performance and efficiency","Code Optimization",planning,2025-01-31T23:59:59Z,2025-02-28T23:59:59Z,75,3,3
4,"Data Visualization Hackathon","Create insightful data visualizations from complex datasets","Data Viz Hackathon",active,2024-10-31T23:59:59Z,2024-11-30T23:59:59Z,60,4,4
5,"Cybersecurity Innovation Contest","Develop new approaches to enhance digital security","Security Innovation",planning,2025-03-31T23:59:59Z,2025-04-30T23:59:59Z,80,5,5
6,"Cloud Architecture Challenge","Design scalable and efficient cloud infrastructure","Cloud Architecture",active,2024-09-30T23:59:59Z,2024-10-31T23:59:59Z,40,6,6
7,"IoT Solutions Showcase","Create innovative IoT solutions for smart cities","IoT Innovation",planning,2025-02-28T23:59:59Z,2025-03-31T23:59:59Z,70,7,7
8,"Blockchain Use Case Competition","Develop practical blockchain applications for industries","Blockchain Innovation",active,2024-11-15T23:59:59Z,2024-12-15T23:59:59Z,55,8,8
9,"UX Writing Challenge","Craft clear and engaging user interface copy","UX Writing Contest",planning,2025-01-15T23:59:59Z,2025-02-15T23:59:59Z,65,9,9
10,"DevOps Automation Challenge","Create innovative DevOps automation solutions","DevOps Innovation",active,2024-10-15T23:59:59Z,2024-11-15T23:59:59Z,45,10,10
